Run,barcode,spiked
010524_Expt9_SISPA_Kate,66,1
010524_Expt9_SISPA_Kate,67,1
010524_Expt9_SISPA_Kate,68,1
010524_Expt9_SISPA_Kate,69,1
010524_Expt9_SISPA_Kate,70,1
010524_Expt9_SISPA_Kate,71,1
010524_Expt9_SISPA_Kate,72,1
010524_Expt9_SISPA_Kate,73,1
010524_Expt9_SISPA_Kate,74,1
010524_Expt9_SISPA_Kate,75,1
010524_Expt9_SISPA_Kate,76,1
010524_Expt9_SISPA_Kate,77,1
010524_Expt9_SISPA_Kate,78,1
010524_Expt9_SISPA_Kate,79,1
010524_Expt9_SISPA_Kate,80,1
010524_Expt9_SISPA_Kate,81,1
010524_Expt9_SISPA_Kate,82,0
expt9_katie,49,1
expt9_katie,50,1
expt9_katie,51,1
expt9_katie,52,1
expt9_katie,53,1
expt9_katie,54,1
expt9_katie,55,1
expt9_katie,56,1
expt9_katie,57,1
expt9_katie,58,1
expt9_katie,59,1
expt9_katie,60,1
expt9_katie,61,1
expt9_katie,62,1
expt9_katie,63,1
expt9_katie,64,1
expt9_katie,65,0
Expt9A_SISPA_Katie,1,1
Expt9A_SISPA_Katie,2,1
Expt9A_SISPA_Katie,3,1
Expt9A_SISPA_Katie,4,1
Expt9A_SISPA_Katie,5,1
Expt9A_SISPA_Katie,6,1
Expt9A_SISPA_Katie,7,1
Expt9A_SISPA_Katie,8,1
Expt9A_SISPA_Katie,9,1
Expt9A_SISPA_Katie,10,1
Expt9A_SISPA_Katie,11,1
Expt9A_SISPA_Katie,12,1
Expt9A_SISPA_Katie,13,1
Expt9A_SISPA_Katie,14,1
Expt9A_SISPA_Katie,15,1
Expt9A_SISPA_Katie,16,1
Expt9A_SISPA_Katie,17,0
expt10_03072024,57,1
expt10_03072024,58,1
expt10_03072024,59,1
expt10_03072024,60,1
expt10_03072024,61,1
expt10_03072024,62,1
expt10_03072024,63,1
expt10_03072024,64,1
expt10_03072024,65,1
expt10_03072024,66,1
expt10_03072024,67,1
expt10_03072024,68,1
expt10_03072024,69,0
expt10_03072024,70,1
expt10_03072024,71,1
expt10_03072024,72,1
expt10_03072024,73,1
expt10_03072024,74,1
expt10_03072024,75,1
expt10_03072024,76,1
expt10_03072024,77,1
expt10_03072024,78,1
expt10_03072024,79,1
expt10_03072024,80,1
expt10_03072024,81,1
expt10_03072024,82,0
expt10A_17072024,1,1
expt10A_17072024,2,1
expt10A_17072024,3,1
expt10A_17072024,4,1
expt10A_17072024,5,1
expt10A_17072024,6,1
expt10A_17072024,7,1
expt10A_17072024,8,1
expt10A_17072024,9,1
expt10A_17072024,10,1
expt10A_17072024,11,1
expt10A_17072024,12,1
expt10A_17072024,13,1
expt10A_17072024,14,1
expt10A_17072024,15,1
expt10A_17072024,16,1
expt10A_17072024,17,1
expt10A_17072024,18,1
expt10A_17072024,19,1
expt10A_17072024,20,1
expt10A_17072024,21,1
expt10A_17072024,22,0
expt10A_17072024,23,0
expt10A_17072024,24,0
expt10A_17072024,25,0
expt11_150824,33,1
expt11_150824,34,1
expt11_150824,35,1
expt11_150824,36,1
expt11_150824,37,1
expt11_150824,38,1
expt11_150824,39,1
expt11_150824,40,1
expt11_150824,41,1
expt11_150824,42,1
expt11_150824,43,1
expt11_150824,44,1
expt11_150824,45,1
expt11_150824,46,1
expt11_150824,47,1
expt11_150824,48,1
expt11_150824,49,1
expt11_150824,50,1
expt11_150824,51,1
expt11_150824,52,1
expt11_150824,53,1
expt11_150824,54,1
010524_Expt9_SISPA_Daisy,66,1
010524_Expt9_SISPA_Daisy,67,1
010524_Expt9_SISPA_Daisy,68,1
010524_Expt9_SISPA_Daisy,69,1
010524_Expt9_SISPA_Daisy,70,1
010524_Expt9_SISPA_Daisy,71,1
010524_Expt9_SISPA_Daisy,72,1
010524_Expt9_SISPA_Daisy,73,1
010524_Expt9_SISPA_Daisy,74,0