pathogen,reference
Flu A/H1-2009,Influenza_A_virus_A_California_07_2009H1N1_segment_1_polymerase_PB2_PB2_gene
Flu A/H1-2009,Influenza_A_virus_A_California_07_2009H1N1_segment_2_polymerase_PB1_PB1_gene
Flu A/H1-2009,Influenza_A_virus_A_California_07_2009H1N1_segment_3_polymerase_PA_PA_gene
Flu A/H1-2009,Influenza_A_virus_A_California_07_2009H1N1_segment_4_hemagglutinin_HA_gene
Flu A/H1-2009,Influenza_A_virus_A_California_07_2009H1N1_segment_5_nucleocapsid_protein_NP_gene
Flu A/H1-2009,Influenza_A_virus_A_California_07_2009H1N1_segment_6_neuraminidase_NA_gene
Flu A/H1-2009,Influenza_A_virus_A_California_07_2009H1N1_segment_7_matrix_protein_2_M2_and_matrix_protein_1_M1_genes
Flu A/H1-2009,Influenza_A_virus_A_California_07_2009H1N1_segment_8_nuclear_export_protein_NEP_and_nonstructural_protein_1_NS1_genes
Flu A/H3,Influenza_A_virus_A_New_York_392_2004H3N2_segment_1
Flu A/H3,Influenza_A_virus_A_New_York_392_2004H3N2_segment_2
Flu A/H3,Influenza_A_virus_A_New_York_392_2004H3N2_segment_3
Flu A/H3,Influenza_A_virus_A_New_York_392_2004H3N2_segment_4
Flu A/H3,Influenza_A_virus_A_New_York_392_2004H3N2_segment_5
Flu A/H3,Influenza_A_virus_A_New_York_392_2004H3N2_segment_6
Flu A/H3,Influenza_A_virus_A_New_York_392_2004H3N2_segment_7
Flu A/H3,Influenza_A_virus_A_New_York_392_2004H3N2_segment_8
Flu A/H1,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1
Flu A/H1,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_2
Flu A/H1,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_3
Flu A/H1,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_4
Flu A/H1,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_5
Flu A/H1,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_6
Flu A/H1,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_7
Flu A/H1,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_8
Flu A/H5,NC_007357.1
Flu A/H5,NC_007358.1
Flu A/H5,NC_007359.1
Flu A/H5,NC_007362.1
Flu A/H5,NC_007360.1
Flu A/H5,NC_007361.1
Flu A/H5,NC_007363.1
Flu A/H5,NC_007364.1
FluB,Influenza_B_virus_B_Lee_1940_segment_2
FluB,Influenza_B_virus_B_Lee_1940_segment_3
FluB,Influenza_B_virus_B_Lee_1940_segment_4
FluB,Influenza_B_virus_B_Lee_1940_segment_5
FluB,Influenza_B_virus_B_Lee_1940_segment_6
FluB,Influenza_B_virus_B_Lee_1940_segment_7
FluB,Influenza_B_virus_B_Lee_1940_segment_8
FluB,Influenza_B_virus_RNA_1
orthoreovirus,orthoreovirus_1
orthoreovirus,orthoreovirus_2
orthoreovirus,orthoreovirus_3
orthoreovirus,orthoreovirus_4
orthoreovirus,orthoreovirus_5
orthoreovirus,orthoreovirus_6
orthoreovirus,orthoreovirus_7
orthoreovirus,orthoreovirus_8
orthoreovirus,orthoreovirus_9
orthoreovirus,orthoreovirus_10