pathogen,pathogen_reduced
Adeno,Adenovirus
Corona 229E,Coronavirus 229E
Corona OC43,Coronavirus OC43
Coronavirus 229E,Coronavirus 229E
Coronavirus HKU,Coronavirus HKU
Coronavirus NL63,Coronavirus NL63
Coronavirus OC43,Coronavirus OC43
Enterovirus,Rhinovirus/enterovirus
Flu A,Influenza A
Flu A/H1-2009,Influenza A/H1-2009
Flu A/H1,Influenza A/H1
Flu A/H3,Influenza A/H3
FluB,Influenza B
HRE,Rhinovirus/enterovirus
Human Rhinovirus,Rhinovirus/enterovirus
Influenza A,Influenza A
MS2,MS2
Metapneumo,Metapneumovirus
Metapneumovirus,Metapneumovirus
Paraflu 1,Parainfluenza 1
Paraflu 2,Parainfluenza 2
Paraflu 3,Parainfluenza 3
Paraflu 4,Parainfluenza 4
Paraflu 4 ,Parainfluenza 4
Parainfluenza 3,Parainfluenza 3
RSV,RSV
SARS-CoV-2,SARS-CoV-2
SARS-Cov-2,SARS-CoV-2
SARSCoV2,SARS-CoV-2
murine_respirovirus,murine_respirovirus
orthoreovirus_1,orthoreovirus
orthoreovirus_10,orthoreovirus
orthoreovirus_2,orthoreovirus
orthoreovirus_3,orthoreovirus
orthoreovirus_4,orthoreovirus
orthoreovirus_5,orthoreovirus
orthoreovirus_6,orthoreovirus
orthoreovirus_7,orthoreovirus
orthoreovirus_8,orthoreovirus
orthoreovirus_9,orthoreovirus
zika,zika
Bordetella_parapertussis,Bordetella_parapertussis
Bordetella_pertussis,Bordetella_pertussis
Chlamydia_pneumoniae,Chlamydia_pneumoniae
Mycoplasmoides_pneumoniae,Mycoplasma_pneumoniae